id,brand,price,start_time,start_day,end_time,end_day,trip_time,destination,checked_baggage,hand_luggage,crawl_date
DLI0003,Bamboo Airways,1.151.075 VND/khách,16:45,03 thg 5,17:40,03 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,15-04-2025
DLI0124,Vietnam Airlines,1.377.621 VND/khách,21:10,03 thg 5,22:10,03 thg 5,1h 0m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,15-04-2025
DLI0065,Vietnam Airlines,1.389.609 VND/khách,08:55,03 thg 5,09:50,03 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,15-04-2025
DLI0047,Vietnam Airlines,1.152.900 VND/khách,05:45,03 thg 5,06:40,03 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,16-04-2025
DLI0003,Bamboo Airways,1.151.075 VND/khách,16:45,03 thg 5,17:40,03 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,16-04-2025
DLI0016,VietJet Air,1.180.561 VND/khách,09:55,03 thg 5,10:50,03 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,16-04-2025
DLI0031,VietJet Air,1.180.561 VND/khách,15:35,03 thg 5,16:30,03 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,16-04-2025
DLI0087,Vietnam Airlines,1.266.300 VND/khách,10:15,03 thg 5,11:10,03 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,16-04-2025
DLI0065,Vietnam Airlines,1.379.700 VND/khách,08:55,03 thg 5,09:50,03 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,16-04-2025
DLI0124,Vietnam Airlines,1.146.852 VND/khách,21:10,03 thg 5,22:10,03 thg 5,1h 0m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,17-04-2025
