,brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,hand_luggage,checked_baggage,crawl_date,source_file,destination,id
92,Vietnam Airlines,1386612,08:10,2025-05-07,2025-05-07,08:55,45m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=07-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0208
93,Vietnam Airlines,1498500,10:25,2025-05-07,2025-05-07,11:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=07-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0231
94,Vietnam Airlines,1505493,15:05,2025-05-07,2025-05-07,16:10,1h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=07-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0274
95,Vietnam Airlines,1793205,13:05,2025-05-07,2025-05-07,14:00,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=07-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0256
98,Vietravel Airlines,967575,17:25,2025-05-08,2025-05-08,18:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",7,0,2025-05-01,planetrip_SGN.PQC&dt=08-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0329
99,VietJet Air,1037000,05:55,2025-05-08,2025-05-08,06:55,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=08-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0023
100,Vietnam Airlines,1274724,05:40,2025-05-08,2025-05-08,06:40,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=08-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0188
101,VietJet Air,1283000,14:05,2025-05-08,2025-05-08,15:05,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=08-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0094
102,VietJet Air,1283000,15:40,2025-05-08,2025-05-08,16:40,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=08-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0115
103,VietJet Air,1283000,08:25,2025-05-08,2025-05-08,09:30,1h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=08-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0038
104,VietJet Air,1283000,17:10,2025-05-08,2025-05-08,18:15,1h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=08-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0138
