id,brand,price,start_hour,end_hour,trip_minutes,destination,hand_luggage,checked_baggage,is_holiday,days_left
HAN0029,VietJet Air,1578045,15,16,55,HAN,7.0,0.0,3,13
HAN0167,Vietnam Airlines,1864134,8,9,55,HAN,12.0,23.0,3,13
HAN0150,Vietnam Airlines,1489509,5,6,55,HAN,12.0,23.0,2,14
HAN0046,VietJet Air,1139145,9,10,55,HAN,7.0,0.0,2,14
HAN0030,VietJet Air,1139145,15,16,55,HAN,7.0,0.0,2,14
HAN0002,Bamboo Airways,1376831,16,17,55,HAN,7.0,0.0,2,14
HAN0136,Vietnam Airlines,1489509,21,22,60,HAN,12.0,23.0,2,14
HAN0168,Vietnam Airlines,1600398,8,9,55,HAN,12.0,23.0,2,14
HAN0137,Vietnam Airlines,1147851,21,22,60,HAN,12.0,23.0,2,15
HAN0003,Bamboo Airways,786175,16,17,55,HAN,7.0,0.0,2,15
HAN0047,VietJet Air,799995,9,10,55,HAN,7.0,0.0,2,15
HAN0031,VietJet Air,799995,15,16,55,HAN,7.0,0.0,2,15
HAN0169,Vietnam Airlines,1150848,8,9,55,HAN,12.0,23.0,2,15
HAN0151,Vietnam Airlines,1162836,5,6,55,HAN,12.0,23.0,2,15
HAN0152,Vietnam Airlines,943056,5,6,55,HAN,12.0,0.0,2,16
HAN0048,VietJet Air,799995,9,10,55,HAN,7.0,0.0,2,16
HAN0004,Bamboo Airways,874325,16,17,55,HAN,7.0,0.0,2,16
HAN0138,Vietnam Airlines,943056,21,22,60,HAN,12.0,0.0,2,16
HAN0170,Vietnam Airlines,945054,8,9,55,HAN,12.0,0.0,2,16
HAN0032,VietJet Air,1028423,15,16,55,HAN,7.0,0.0,2,16
HAN0153,Vietnam Airlines,944055,5,6,55,HAN,12.0,0.0,0,17
HAN0049,VietJet Air,799995,9,10,55,HAN,7.0,0.0,0,17
HAN0171,Vietnam Airlines,940059,8,9,55,HAN,12.0,0.0,0,17
HAN0102,Vietnam Airlines,1162836,10,11,55,HAN,12.0,23.0,0,17
HAN0124,Vietnam Airlines,943056,17,18,55,HAN,12.0,0.0,0,18
HAN0005,Bamboo Airways,782244,16,17,55,HAN,7.0,0.0,0,18
HAN0050,VietJet Air,799995,9,10,55,HAN,7.0,0.0,0,18
HAN0172,Vietnam Airlines,943056,8,9,55,HAN,12.0,0.0,0,18
HAN0103,Vietnam Airlines,1162836,10,11,55,HAN,12.0,23.0,0,18
HAN0154,Vietnam Airlines,943056,5,6,55,HAN,12.0,0.0,0,19
HAN0051,VietJet Air,799995,9,10,55,HAN,7.0,0.0,0,19
HAN0173,Vietnam Airlines,943056,8,9,55,HAN,12.0,0.0,0,19
HAN0125,Vietnam Airlines,1150848,17,18,55,HAN,12.0,23.0,0,19
HAN0126,Vietnam Airlines,1161837,17,18,55,HAN,12.0,23.0,0,20
HAN0006,Bamboo Airways,786175,16,17,55,HAN,7.0,0.0,0,20
HAN0052,VietJet Air,799995,9,10,55,HAN,7.0,0.0,0,20
HAN0174,Vietnam Airlines,1080918,8,9,55,HAN,12.0,23.0,0,20
HAN0157,Vietnam Airlines,1166832,5,6,55,HAN,12.0,23.0,0,3
HAN0033,VietJet Air,799995,15,16,55,HAN,7.0,0.0,0,3
HAN0130,Vietnam Airlines,1365633,17,18,55,HAN,12.0,23.0,0,3
HAN0158,Vietnam Airlines,1013985,5,6,55,HAN,12.0,0.0,0,4
HAN0008,Bamboo Airways,869953,16,17,55,HAN,7.0,0.0,0,4
HAN0034,VietJet Air,1028423,15,16,55,HAN,7.0,0.0,0,4
HAN0131,Vietnam Airlines,1162836,17,18,55,HAN,12.0,23.0,0,4
HAN0159,Vietnam Airlines,1162836,5,6,55,HAN,12.0,23.0,0,5
HAN0035,VietJet Air,799995,15,16,55,HAN,7.0,0.0,0,5
HAN0132,Vietnam Airlines,1237761,17,18,55,HAN,12.0,23.0,0,5
HAN0160,Vietnam Airlines,1233765,5,6,55,HAN,12.0,23.0,0,6
HAN0009,Bamboo Airways,1080048,16,17,55,HAN,7.0,0.0,0,6
HAN0036,VietJet Air,1139145,15,16,55,HAN,7.0,0.0,0,6
HAN0161,Vietnam Airlines,1274724,5,6,55,HAN,12.0,23.0,0,7
HAN0037,VietJet Air,1139145,15,16,55,HAN,7.0,0.0,0,7
HAN0142,Vietnam Airlines,1393605,21,22,60,HAN,12.0,23.0,0,7
HAN0143,Vietnam Airlines,1151847,21,22,60,HAN,12.0,23.0,1,8
HAN0010,Bamboo Airways,1080048,16,17,55,HAN,7.0,0.0,1,8
HAN0038,VietJet Air,1285778,15,16,55,HAN,7.0,0.0,1,8
HAN0121,Vietnam Airlines,1501497,12,13,55,HAN,12.0,23.0,1,8
HAN0134,Vietnam Airlines,981018,20,21,55,HAN,12.0,0.0,1,9
HAN0144,Vietnam Airlines,981018,21,22,60,HAN,12.0,0.0,1,9
HAN0163,Vietnam Airlines,1166832,5,6,55,HAN,12.0,23.0,1,9
HAN0178,Vietnam Airlines,1166832,8,9,55,HAN,12.0,23.0,1,9
HAN0039,VietJet Air,1285778,15,16,55,HAN,7.0,0.0,1,9
HAN0164,Vietnam Airlines,981018,5,6,55,HAN,12.0,0.0,0,10
HAN0179,Vietnam Airlines,1162836,8,9,55,HAN,12.0,23.0,0,10
HAN0040,VietJet Air,1285778,15,16,55,HAN,7.0,0.0,0,10
HAN0145,Vietnam Airlines,1371627,21,22,60,HAN,12.0,23.0,0,10
HAN0165,Vietnam Airlines,1937061,5,6,55,HAN,12.0,23.0,2,11
HAN0056,VietJet Air,1578045,9,10,55,HAN,7.0,0.0,2,11
HAN0180,Vietnam Airlines,1791207,8,9,55,HAN,12.0,23.0,2,11
HAN0041,VietJet Air,1812458,15,16,55,HAN,7.0,0.0,2,11
HAN0011,Bamboo Airways,1828636,16,17,55,HAN,7.0,20.0,2,11
HAN0146,Vietnam Airlines,1985013,21,22,60,HAN,12.0,23.0,2,11
HAN0120,Vietnam Airlines,2010987,11,12,55,HAN,12.0,23.0,2,11
HAN0147,Vietnam Airlines,1942056,21,22,60,HAN,12.0,23.0,3,12
HAN0012,Bamboo Airways,1564488,16,17,55,HAN,7.0,0.0,3,12
HAN0042,VietJet Air,1578045,15,16,55,HAN,7.0,0.0,3,12
HAN0057,VietJet Air,1895250,9,10,55,HAN,7.0,0.0,3,12
HAN0166,Vietnam Airlines,1983015,5,6,55,HAN,12.0,23.0,3,12
HAN0149,Vietnam Airlines,1869129,5,6,55,HAN,12.0,23.0,3,12
HAN0001,Bamboo Airways,1564488,16,17,55,HAN,7.0,0.0,3,12
HAN0045,VietJet Air,1609965,9,10,55,HAN,7.0,0.0,3,12
HAN0029,VietJet Air,1609965,15,16,55,HAN,7.0,0.0,3,12
HAN0167,Vietnam Airlines,1865133,8,9,55,HAN,12.0,23.0,3,12
HAN0150,Vietnam Airlines,1516482,5,6,55,HAN,12.0,23.0,2,13
HAN0046,VietJet Air,1169070,9,10,55,HAN,7.0,0.0,2,13
HAN0030,VietJet Air,1169070,15,16,55,HAN,7.0,0.0,2,13
HAN0002,Bamboo Airways,1211612,16,17,55,HAN,7.0,0.0,2,13
HAN0136,Vietnam Airlines,1516482,21,22,60,HAN,12.0,23.0,2,13
HAN0168,Vietnam Airlines,1631292,8,9,55,HAN,12.0,23.0,2,13
HAN0099,Vietnam Airlines,1631292,10,11,55,HAN,12.0,23.0,2,13
HAN0137,Vietnam Airlines,1147851,21,22,60,HAN,12.0,23.0,2,14
HAN0003,Bamboo Airways,782244,16,17,55,HAN,7.0,0.0,2,14
HAN0047,VietJet Air,827925,9,10,55,HAN,7.0,0.0,2,14
HAN0031,VietJet Air,827925,15,16,55,HAN,7.0,0.0,2,14
HAN0151,Vietnam Airlines,1162836,5,6,55,HAN,12.0,23.0,2,14
HAN0169,Vietnam Airlines,1170828,8,9,55,HAN,12.0,23.0,2,14
HAN0152,Vietnam Airlines,944055,5,6,55,HAN,12.0,0.0,2,15
HAN0048,VietJet Air,827925,9,10,55,HAN,7.0,0.0,2,15
HAN0004,Bamboo Airways,869953,16,17,55,HAN,7.0,0.0,2,15
HAN0170,Vietnam Airlines,944055,8,9,55,HAN,12.0,0.0,2,15
HAN0138,Vietnam Airlines,944055,21,22,60,HAN,12.0,0.0,2,15
HAN0032,VietJet Air,1054358,15,16,55,HAN,7.0,0.0,2,15
HAN0153,Vietnam Airlines,944055,5,6,55,HAN,12.0,0.0,0,16
HAN0049,VietJet Air,827925,9,10,55,HAN,7.0,0.0,0,16
HAN0171,Vietnam Airlines,940059,8,9,55,HAN,12.0,0.0,0,16
HAN0102,Vietnam Airlines,1159839,10,11,55,HAN,12.0,23.0,0,16
HAN0124,Vietnam Airlines,937062,17,18,55,HAN,12.0,0.0,0,17
HAN0005,Bamboo Airways,786175,16,17,55,HAN,7.0,0.0,0,17
HAN0050,VietJet Air,827925,9,10,55,HAN,7.0,0.0,0,17
HAN0172,Vietnam Airlines,944055,8,9,55,HAN,12.0,0.0,0,17
HAN0154,Vietnam Airlines,944055,5,6,55,HAN,12.0,0.0,0,18
HAN0051,VietJet Air,827925,9,10,55,HAN,7.0,0.0,0,18
HAN0173,Vietnam Airlines,944055,8,9,55,HAN,12.0,0.0,0,18
HAN0125,Vietnam Airlines,1151847,17,18,55,HAN,12.0,23.0,0,18
HAN0126,Vietnam Airlines,1159839,17,18,55,HAN,12.0,23.0,0,19
HAN0052,VietJet Air,827925,9,10,55,HAN,7.0,0.0,0,19
HAN0174,Vietnam Airlines,1092906,8,9,55,HAN,12.0,23.0,0,19
HAN0006,Bamboo Airways,1151075,16,17,55,HAN,7.0,0.0,0,19
HAN0127,Vietnam Airlines,1234764,17,18,55,HAN,12.0,23.0,0,20
HAN0053,VietJet Air,1306725,9,10,55,HAN,7.0,0.0,0,20
HAN0155,Vietnam Airlines,1382616,5,6,55,HAN,12.0,23.0,0,20
HAN0106,Vietnam Airlines,1490508,10,11,55,HAN,12.0,23.0,0,20
HAN0157,Vietnam Airlines,1363635,5,6,55,HAN,12.0,23.0,0,2
HAN0033,VietJet Air,1176053,15,16,55,HAN,7.0,0.0,0,2
HAN0130,Vietnam Airlines,1579419,17,18,55,HAN,12.0,23.0,0,2
HAN0158,Vietnam Airlines,1133865,5,6,55,HAN,12.0,23.0,0,3
HAN0008,Bamboo Airways,947464,16,17,55,HAN,7.0,0.0,0,3
HAN0034,VietJet Air,1054358,15,16,55,HAN,7.0,0.0,0,3
HAN0159,Vietnam Airlines,1133865,5,6,55,HAN,12.0,23.0,0,4
HAN0035,VietJet Air,827925,15,16,55,HAN,7.0,0.0,0,4
HAN0160,Vietnam Airlines,1215783,5,6,55,HAN,12.0,23.0,0,5
HAN0009,Bamboo Airways,1080048,16,17,55,HAN,7.0,0.0,0,5
HAN0036,VietJet Air,1172063,15,16,55,HAN,7.0,0.0,0,5
HAN0161,Vietnam Airlines,1274724,5,6,55,HAN,12.0,23.0,0,6
