brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination,hand_luggage,checked_baggage,crawl_date
Vietnam Airlines,894.105 VND/khách,08:55,07 thg 5,09:50,07 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 0 kg,02-05-2025
Vietnam Airlines,1.009.989 VND/khách,05:45,07 thg 5,06:40,07 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 0 kg,02-05-2025
Vietnam Airlines,1.159.839 VND/khách,17:25,07 thg 5,18:20,07 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,02-05-2025
Vietnam Airlines,1.271.727 VND/khách,10:15,07 thg 5,11:10,07 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,02-05-2025
Bamboo Airways,754.708 VND/khách,16:45,08 thg 5,17:40,08 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 7 kg,Hành lý 0 kg,02-05-2025
VietJet Air,810.968 VND/khách,09:55,08 thg 5,10:50,08 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 7 kg,Hành lý 0 kg,02-05-2025
Vietnam Airlines,1.009.989 VND/khách,08:55,08 thg 5,09:50,08 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 0 kg,02-05-2025
Vietnam Airlines,1.252.746 VND/khách,17:25,08 thg 5,18:20,08 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,02-05-2025
VietJet Air,1.280.790 VND/khách,09:55,09 thg 5,10:50,09 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 7 kg,Hành lý 0 kg,02-05-2025
Vietnam Airlines,1.383.615 VND/khách,05:45,09 thg 5,06:40,09 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,02-05-2025
Vietnam Airlines,1.495.503 VND/khách,08:55,09 thg 5,09:50,09 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,02-05-2025
Vietnam Airlines,1.600.398 VND/khách,10:15,09 thg 5,11:10,09 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,02-05-2025
Vietnam Airlines,1.600.398 VND/khách,17:25,09 thg 5,18:20,09 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,02-05-2025
Bamboo Airways,754.708 VND/khách,16:45,10 thg 5,17:40,10 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 7 kg,Hành lý 0 kg,02-05-2025
VietJet Air,1.143.135 VND/khách,09:55,10 thg 5,10:50,10 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 7 kg,Hành lý 0 kg,02-05-2025
Vietnam Airlines,1.159.839 VND/khách,17:25,10 thg 5,18:20,10 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,02-05-2025
VietJet Air,813.960 VND/khách,09:55,11 thg 5,10:50,11 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 7 kg,Hành lý 0 kg,02-05-2025
Vietnam Airlines,993.381 VND/khách,05:45,11 thg 5,06:40,11 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 0 kg,02-05-2025
Vietnam Airlines,1.157.841 VND/khách,08:55,11 thg 5,09:50,11 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,02-05-2025
Vietnam Airlines,1.157.841 VND/khách,10:15,11 thg 5,11:10,11 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,02-05-2025
Vietnam Airlines,1.179.170 VND/khách,17:25,11 thg 5,18:20,11 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,02-05-2025
Bamboo Airways,869.953 VND/khách,16:45,04 thg 5,17:40,04 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 7 kg,Hành lý 0 kg,03-05-2025
VietJet Air,854.858 VND/khách,09:55,04 thg 5,10:50,04 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 7 kg,Hành lý 0 kg,03-05-2025
VietJet Air,817.950 VND/khách,09:55,05 thg 5,10:50,05 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 7 kg,Hành lý 0 kg,03-05-2025
